"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","2","import { useLocation, useNavigate } from ""react-router-dom"";","AppShell.tsx","C:\TEAC2026\ilp_frontend\src\layouts\AppShell.tsx","ProtectedRoute|Navigate|token|localStorage|sessionStorage|login|auth",,"System.Text.RegularExpressions.Match[]"
"True","45","import { logout } from ""../features/auth/store/authSlice"";","AppShell.tsx","C:\TEAC2026\ilp_frontend\src\layouts\AppShell.tsx","ProtectedRoute|Navigate|token|localStorage|sessionStorage|login|auth",,"System.Text.RegularExpressions.Match[]"
"True","69","  const navigate = useNavigate();","AppShell.tsx","C:\TEAC2026\ilp_frontend\src\layouts\AppShell.tsx","ProtectedRoute|Navigate|token|localStorage|sessionStorage|login|auth",,"System.Text.RegularExpressions.Match[]"
"True","154","                  navigate(item.path);","AppShell.tsx","C:\TEAC2026\ilp_frontend\src\layouts\AppShell.tsx","ProtectedRoute|Navigate|token|localStorage|sessionStorage|login|auth",,"System.Text.RegularExpressions.Match[]"
"True","1","import { Routes, Route, Navigate } from ""react-router-dom"";","AppRoutes.tsx","C:\TEAC2026\ilp_frontend\src\routes\AppRoutes.tsx","ProtectedRoute|Navigate|token|localStorage|sessionStorage|login|auth",,"System.Text.RegularExpressions.Match[]"
"True","21","      <Route path=""/"" element={<Navigate to=""/institutional"" replace />} />","AppRoutes.tsx","C:\TEAC2026\ilp_frontend\src\routes\AppRoutes.tsx","ProtectedRoute|Navigate|token|localStorage|sessionStorage|login|auth",,"System.Text.RegularExpressions.Match[]"
"True","5","  import.meta.env.VITE_AUTH_API_BASE_URL ?? ""http://localhost:8083"";","adaptiveApi.ts","C:\TEAC2026\ilp_frontend\src\services\adaptiveApi.ts","ProtectedRoute|Navigate|token|localStorage|sessionStorage|login|auth",,"System.Text.RegularExpressions.Match[]"
"True","10","  import.meta.env.VITE_AUTH_API_BASE_URL ?? ""http://localhost:8083"";","assessmentApi.ts","C:\TEAC2026\ilp_frontend\src\services\assessmentApi.ts","ProtectedRoute|Navigate|token|localStorage|sessionStorage|login|auth",,"System.Text.RegularExpressions.Match[]"
"True","5","  import.meta.env.VITE_AUTH_API_BASE_URL ?? ""http://localhost:8083"";","assessmentDefinitionApi.ts","C:\TEAC2026\ilp_frontend\src\services\assessmentDefinitionApi.ts","ProtectedRoute|Navigate|token|localStorage|sessionStorage|login|auth",,"System.Text.RegularExpressions.Match[]"
"True","5","  import.meta.env.VITE_AUTH_API_BASE_URL ?? ""http://localhost:8083"";","recommendationApi.ts","C:\TEAC2026\ilp_frontend\src\services\recommendationApi.ts","ProtectedRoute|Navigate|token|localStorage|sessionStorage|login|auth",,"System.Text.RegularExpressions.Match[]"
"True","5","  import.meta.env.VITE_AUTH_API_BASE_URL ?? ""http://localhost:8083"";","researchApi.ts","C:\TEAC2026\ilp_frontend\src\services\researchApi.ts","ProtectedRoute|Navigate|token|localStorage|sessionStorage|login|auth",,"System.Text.RegularExpressions.Match[]"
"True","5","  import.meta.env.VITE_AUTH_API_BASE_URL ?? ""http://localhost:8083"";","studentApi.ts","C:\TEAC2026\ilp_frontend\src\services\studentApi.ts","ProtectedRoute|Navigate|token|localStorage|sessionStorage|login|auth",,"System.Text.RegularExpressions.Match[]"
"True","2","import authReducer from ""../features/auth/store/authSlice"";","index.ts","C:\TEAC2026\ilp_frontend\src\store\index.ts","ProtectedRoute|Navigate|token|localStorage|sessionStorage|login|auth",,"System.Text.RegularExpressions.Match[]"
"True","6","    auth: authReducer,","index.ts","C:\TEAC2026\ilp_frontend\src\store\index.ts","ProtectedRoute|Navigate|token|localStorage|sessionStorage|login|auth",,"System.Text.RegularExpressions.Match[]"
