"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","7","const client = axios.create({","adaptiveApi.ts","C:\TEAC2026\ilp_frontend\src\services\adaptiveApi.ts","axios.create|baseURL|authApi|signin|login",,"System.Text.RegularExpressions.Match[]"
"True","8","  baseURL: API_BASE_URL,","adaptiveApi.ts","C:\TEAC2026\ilp_frontend\src\services\adaptiveApi.ts","axios.create|baseURL|authApi|signin|login",,"System.Text.RegularExpressions.Match[]"
"True","12","const client = axios.create({","assessmentApi.ts","C:\TEAC2026\ilp_frontend\src\services\assessmentApi.ts","axios.create|baseURL|authApi|signin|login",,"System.Text.RegularExpressions.Match[]"
"True","13","  baseURL: API_BASE_URL,","assessmentApi.ts","C:\TEAC2026\ilp_frontend\src\services\assessmentApi.ts","axios.create|baseURL|authApi|signin|login",,"System.Text.RegularExpressions.Match[]"
"True","7","const client = axios.create({","assessmentDefinitionApi.ts","C:\TEAC2026\ilp_frontend\src\services\assessmentDefinitionApi.ts","axios.create|baseURL|authApi|signin|login",,"System.Text.RegularExpressions.Match[]"
"True","8","  baseURL: API_BASE_URL,","assessmentDefinitionApi.ts","C:\TEAC2026\ilp_frontend\src\services\assessmentDefinitionApi.ts","axios.create|baseURL|authApi|signin|login",,"System.Text.RegularExpressions.Match[]"
"True","7","const client = axios.create({","recommendationApi.ts","C:\TEAC2026\ilp_frontend\src\services\recommendationApi.ts","axios.create|baseURL|authApi|signin|login",,"System.Text.RegularExpressions.Match[]"
"True","8","  baseURL: API_BASE_URL,","recommendationApi.ts","C:\TEAC2026\ilp_frontend\src\services\recommendationApi.ts","axios.create|baseURL|authApi|signin|login",,"System.Text.RegularExpressions.Match[]"
"True","7","const client = axios.create({","researchApi.ts","C:\TEAC2026\ilp_frontend\src\services\researchApi.ts","axios.create|baseURL|authApi|signin|login",,"System.Text.RegularExpressions.Match[]"
"True","8","  baseURL: API_BASE_URL,","researchApi.ts","C:\TEAC2026\ilp_frontend\src\services\researchApi.ts","axios.create|baseURL|authApi|signin|login",,"System.Text.RegularExpressions.Match[]"
"True","7","const client = axios.create({","studentApi.ts","C:\TEAC2026\ilp_frontend\src\services\studentApi.ts","axios.create|baseURL|authApi|signin|login",,"System.Text.RegularExpressions.Match[]"
"True","8","  baseURL: API_BASE_URL,","studentApi.ts","C:\TEAC2026\ilp_frontend\src\services\studentApi.ts","axios.create|baseURL|authApi|signin|login",,"System.Text.RegularExpressions.Match[]"
