"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","5","  import.meta.env.VITE_AUTH_API_BASE_URL ?? ""http://localhost:8083"";","adaptiveApi.ts","C:\TEAC2026\ilp_frontend\src\services\adaptiveApi.ts","login|signin|auth|axios.create",,"System.Text.RegularExpressions.Match[]"
"True","7","const client = axios.create({","adaptiveApi.ts","C:\TEAC2026\ilp_frontend\src\services\adaptiveApi.ts","login|signin|auth|axios.create",,"System.Text.RegularExpressions.Match[]"
"True","10","  import.meta.env.VITE_AUTH_API_BASE_URL ?? ""http://localhost:8083"";","assessmentApi.ts","C:\TEAC2026\ilp_frontend\src\services\assessmentApi.ts","login|signin|auth|axios.create",,"System.Text.RegularExpressions.Match[]"
"True","12","const client = axios.create({","assessmentApi.ts","C:\TEAC2026\ilp_frontend\src\services\assessmentApi.ts","login|signin|auth|axios.create",,"System.Text.RegularExpressions.Match[]"
"True","5","  import.meta.env.VITE_AUTH_API_BASE_URL ?? ""http://localhost:8083"";","assessmentDefinitionApi.ts","C:\TEAC2026\ilp_frontend\src\services\assessmentDefinitionApi.ts","login|signin|auth|axios.create",,"System.Text.RegularExpressions.Match[]"
"True","7","const client = axios.create({","assessmentDefinitionApi.ts","C:\TEAC2026\ilp_frontend\src\services\assessmentDefinitionApi.ts","login|signin|auth|axios.create",,"System.Text.RegularExpressions.Match[]"
"True","5","  import.meta.env.VITE_AUTH_API_BASE_URL ?? ""http://localhost:8083"";","recommendationApi.ts","C:\TEAC2026\ilp_frontend\src\services\recommendationApi.ts","login|signin|auth|axios.create",,"System.Text.RegularExpressions.Match[]"
"True","7","const client = axios.create({","recommendationApi.ts","C:\TEAC2026\ilp_frontend\src\services\recommendationApi.ts","login|signin|auth|axios.create",,"System.Text.RegularExpressions.Match[]"
"True","5","  import.meta.env.VITE_AUTH_API_BASE_URL ?? ""http://localhost:8083"";","researchApi.ts","C:\TEAC2026\ilp_frontend\src\services\researchApi.ts","login|signin|auth|axios.create",,"System.Text.RegularExpressions.Match[]"
"True","7","const client = axios.create({","researchApi.ts","C:\TEAC2026\ilp_frontend\src\services\researchApi.ts","login|signin|auth|axios.create",,"System.Text.RegularExpressions.Match[]"
"True","5","  import.meta.env.VITE_AUTH_API_BASE_URL ?? ""http://localhost:8083"";","studentApi.ts","C:\TEAC2026\ilp_frontend\src\services\studentApi.ts","login|signin|auth|axios.create",,"System.Text.RegularExpressions.Match[]"
"True","7","const client = axios.create({","studentApi.ts","C:\TEAC2026\ilp_frontend\src\services\studentApi.ts","login|signin|auth|axios.create",,"System.Text.RegularExpressions.Match[]"
"True","2","import authReducer from ""../features/auth/store/authSlice"";","index.ts","C:\TEAC2026\ilp_frontend\src\store\index.ts","login|signin|auth|axios.create",,"System.Text.RegularExpressions.Match[]"
"True","6","    auth: authReducer,","index.ts","C:\TEAC2026\ilp_frontend\src\store\index.ts","login|signin|auth|axios.create",,"System.Text.RegularExpressions.Match[]"
