"File","Line","EndpointEvidence","CandidateService"
"src\services\adaptiveApi.ts","16","`/api/v1/adaptive/students/${studentId}`","student-service"
"src\services\adaptiveApi.ts","26","`/api/v1/adaptive/students/${studentId}/history`","student-service"
"src\services\assessmentApi.ts","19","""/api/v1/instruments/kolb/questions""","adaptive-education-service / assessment-service"
"src\services\assessmentApi.ts","30","""/api/v1/assessments/kolb"",","adaptive-education-service / assessment-service"
"src\services\assessmentApi.ts","51","""/api/v1/assessments/felder-silverman"",","adaptive-education-service / assessment-service"
"src\services\assessmentApi.ts","70","""/api/v1/assessments/kuder"",","adaptive-education-service / assessment-service"
"src\services\assessmentDefinitionApi.ts","16","`/api/v1/assessment-definitions/${code}`","adaptive-education-service / assessment-service"
"src\services\recommendationApi.ts","16","`/api/v1/recommendations/students/${studentId}`","student-service"
"src\services\studentApi.ts","13","const response = await client.get<StudentProfile[]>(""/api/v1/students"");","student-service"
"src\services\studentApi.ts","20","const response = await client.get<StudentProfile>(`/api/v1/students/${id}`);","student-service"
"src\store\slices\authSlice.ts","19","""http://localhost:8080/api/auth/login"",","auth-service"
