"File","Line","Endpoint","MicroserviceCandidate"
"src\services\adaptiveApi.ts","16","/api/v1/adaptive/students/${studentId}","student-service"
"src\services\adaptiveApi.ts","26","/api/v1/adaptive/students/${studentId}/history","student-service"
"src\services\assessmentDefinitionApi.ts","16","/api/v1/assessment-definitions/${code}","assessment-service / adaptive-education-service"
"src\services\assessmentApi.ts","51","/api/v1/assessments/felder-silverman","assessment-service / adaptive-education-service"
"src\services\assessmentApi.ts","30","/api/v1/assessments/kolb","assessment-service / adaptive-education-service"
"src\services\assessmentApi.ts","70","/api/v1/assessments/kuder","assessment-service / adaptive-education-service"
"src\services\assessmentApi.ts","19","/api/v1/instruments/kolb/questions","assessment-service / adaptive-education-service"
"src\services\recommendationApi.ts","16","/api/v1/recommendations/students/${studentId}","student-service"
"src\services\studentApi.ts","13","/api/v1/students","student-service"
"src\services\studentApi.ts","20","/api/v1/students/${id}","student-service"
